index,true_label,pred_label,correct
0,0,2,False
1,2,2,True
2,0,2,False
3,1,3,False
4,2,2,True
5,1,3,False
6,1,2,False
7,2,2,True
8,0,3,False
9,2,2,True
10,0,2,False
11,2,2,True
12,3,3,True
13,3,2,False
14,1,0,False
15,0,2,False
16,0,2,False
17,2,2,True
18,0,2,False
19,1,3,False
20,2,2,True
21,1,3,False
22,3,2,False
23,2,2,True
24,2,2,True
25,0,2,False
26,3,3,True
27,0,2,False
28,0,2,False
29,3,3,True
30,1,3,False
31,1,3,False
32,0,2,False
33,2,2,True
34,1,0,False
35,0,2,False
36,0,2,False
37,3,2,False
38,2,2,True
39,3,3,True
40,3,3,True
41,1,3,False
42,2,2,True
43,1,3,False
44,3,3,True
45,3,2,False
46,0,2,False
47,2,2,True
48,0,2,False
49,2,2,True
50,3,2,False
51,1,2,False
52,1,3,False
53,1,3,False
54,3,3,True
55,3,2,False
56,0,2,False
57,2,2,True
58,2,2,True
59,3,3,True
60,2,2,True
61,0,2,False
62,1,3,False
63,1,2,False
64,3,2,False
65,1,2,False
66,0,3,False
67,0,2,False
68,0,2,False
69,2,2,True
70,2,2,True
71,3,3,True
72,3,2,False
73,2,2,True
74,2,3,False
75,1,2,False
76,2,2,True
77,3,1,False
78,0,2,False
79,3,3,True
80,1,3,False
81,1,2,False
82,3,3,True
83,1,3,False
84,0,2,False
85,3,3,True
86,3,3,True
87,3,2,False
22,1,3,False
23,3,3,True
